days,bT,sT,y1970,y1980,y1990,y2000,y2010,y2017
2,1.02,0.99,2.18908,3.71256,4.60301,0.27077,1.56555,15.85774
2,1.02,0.985,2.05275,4.20836,4.19994,0.28836,2.17885,22.79615
2,1.02,0.98,2.27540,2.87947,4.43232,0.26840,1.82593,14.23208
2,1.02,0.975,2.06516,3.68430,4.37613,0.36616,2.18970,26.69628
2,1.02,0.97,1.79425,4.37114,4.74907,0.35514,2.13945,28.30025
2,1.02,0.965,2.08791,4.65123,6.84753,0.33050,2.04120,44.86173
2,1.02,0.96,1.77858,4.58615,6.75888,0.41786,2.18561,50.35005
2,1.02,0.955,1.54841,4.11327,6.81651,0.41758,2.17285,39.39153
2,1.02,0.95,1.38628,3.68046,7.68500,0.44561,2.34030,40.89012
2,1.02,0.945,1.45414,3.36619,8.48305,0.38906,2.54282,41.08010
2,1.02,0.94,1.45414,3.36619,8.99366,0.32638,2.62982,37.78627
2,1.02,0.9349999999999999,1.45414,3.55364,8.74445,0.34411,2.63109,40.91172
2,1.02,0.9299999999999999,1.45414,3.23392,9.57946,0.37293,2.74818,46.16948
2,1.02,0.925,1.45414,3.23392,8.10799,0.43391,2.85219,47.18792
2,1.02,0.9199999999999999,1.48170,3.23392,8.10799,0.38008,3.03400,44.80197
2,1.02,0.915,1.48170,3.23392,8.46536,0.37673,3.03400,46.36382
2,1.02,0.91,1.48170,3.23392,8.46536,0.38156,3.03400,46.95820
2,1.02,0.905,1.48170,3.23392,8.46536,0.43497,3.03400,53.53209
2,1.025,0.99,1.66047,2.56149,3.02972,0.33756,1.25594,5.46321
2,1.025,0.985,1.55732,3.19144,2.89686,0.33226,1.46124,6.99024
2,1.025,0.98,1.53267,2.90873,3.51416,0.31325,1.32437,6.49933
2,1.025,0.975,1.72403,2.99838,3.63298,0.48417,1.80984,16.45641
2,1.025,0.97,1.57534,4.02966,4.41665,0.49582,1.90029,26.41646
2,1.025,0.965,2.00418,4.11507,6.45176,0.46965,1.88053,46.99414
2,1.025,0.96,1.74268,4.67972,6.50127,0.54640,1.95553,56.65153
2,1.025,0.955,1.51715,4.95061,6.27827,0.44948,2.12274,44.99188
2,1.025,0.95,1.35806,4.39466,7.41862,0.46151,2.28633,46.71865
2,1.025,0.945,1.39310,4.01941,8.18901,0.37495,2.51393,43.22230
2,1.025,0.94,1.39310,4.01941,8.68192,0.31881,2.62982,40.75838
2,1.025,0.9349999999999999,1.39310,4.01941,8.44135,0.34161,2.63109,42.48433
2,1.025,0.9299999999999999,1.39310,3.65779,9.24742,0.37023,2.74818,47.94418
2,1.025,0.925,1.39310,3.65779,8.10799,0.43076,2.85219,50.76125
2,1.025,0.9199999999999999,1.48170,3.23392,8.10799,0.37733,3.03400,44.47690
2,1.025,0.915,1.48170,3.23392,8.46536,0.37673,3.03400,46.36382
2,1.025,0.91,1.48170,3.23392,8.46536,0.38156,3.03400,46.95820
2,1.025,0.905,1.48170,3.23392,8.46536,0.43497,3.03400,53.53209
2,1.03,0.99,1.19449,1.54711,2.50940,0.37241,1.27639,2.20432
2,1.03,0.985,1.14483,1.67344,2.51299,0.32287,1.46046,2.27015
2,1.03,0.98,1.15418,2.53111,3.40734,0.28835,1.30544,3.74693
2,1.03,0.975,1.22049,2.92625,3.07167,0.44259,1.40606,6.82698
2,1.03,0.97,1.07692,3.82547,3.93996,0.41950,2.19507,14.94652
2,1.03,0.965,1.35927,4.06831,5.65408,0.38822,2.28700,27.76050
2,1.03,0.96,1.80703,5.40291,5.78514,0.53239,2.11081,63.47229
2,1.03,0.955,1.48869,5.95780,6.50213,0.58019,2.32717,77.86608
2,1.03,0.95,1.38499,5.28874,8.50520,0.52087,2.49286,80.89319
2,1.03,0.945,1.39310,4.11339,8.87009,0.44771,2.51393,57.20828
2,1.03,0.94,1.39310,4.11339,9.40399,0.38067,2.62982,53.94707
2,1.03,0.9349999999999999,1.39310,4.11339,9.14341,0.36357,2.63109,50.12033
2,1.03,0.9299999999999999,1.39310,4.11339,9.24742,0.38048,2.74818,55.40942
2,1.03,0.925,1.39310,4.11339,8.10799,0.44270,2.85219,58.66513
2,1.03,0.9199999999999999,1.48170,3.63673,8.10799,0.38778,3.03400,51.40226
2,1.03,0.915,1.48170,3.63673,8.46536,0.38716,3.03400,53.58299
2,1.03,0.91,1.48170,3.63673,8.46536,0.39213,3.03400,54.26992
2,1.03,0.905,1.48170,3.63673,8.46536,0.44476,3.03400,61.55483
2,1.035,0.99,1.21529,1.27971,2.32060,0.29899,1.19374,1.28812
2,1.035,0.985,1.20298,1.40427,2.51935,0.27115,1.35041,1.55837
2,1.035,0.98,1.30061,2.06609,3.55303,0.25400,1.22579,2.97273
2,1.035,0.975,1.48809,2.25993,3.81515,0.35195,1.27146,5.74148
2,1.035,0.97,1.36177,3.06122,3.31999,0.40840,2.07970,11.75506
2,1.035,0.965,1.25706,3.11873,3.78079,0.34603,2.37143,12.16282
2,1.035,0.96,2.02571,4.14183,4.51436,0.44556,2.18036,36.79583
2,1.035,0.955,1.83515,5.02570,4.92069,0.51577,2.34879,54.97813
2,1.035,0.95,1.32867,4.46132,7.61569,0.46303,2.46691,51.56503
2,1.035,0.945,1.39310,4.11339,8.87009,0.41053,2.50612,52.29473
2,1.035,0.94,1.39310,4.11339,9.40399,0.36632,2.62982,51.91300
2,1.035,0.9349999999999999,1.39310,4.11339,9.14341,0.34986,2.63109,48.23055
2,1.035,0.9299999999999999,1.39310,4.11339,9.24742,0.36614,2.74818,53.32021
2,1.035,0.925,1.39310,4.11339,8.10799,0.44270,2.85219,58.66513
2,1.035,0.9199999999999999,1.48170,3.63673,8.10799,0.38778,3.03400,51.40226
2,1.035,0.915,1.48170,3.63673,8.46536,0.38716,3.03400,53.58299
2,1.035,0.91,1.48170,3.63673,8.46536,0.39213,3.03400,54.26992
2,1.035,0.905,1.48170,3.63673,8.46536,0.44476,3.03400,61.55483
2,1.04,0.99,1.06610,1.01267,1.81229,0.32884,1.15049,0.74022
2,1.04,0.985,1.05530,1.00953,2.06503,0.29518,1.29439,0.84057
2,1.04,0.98,1.14761,1.48531,2.86132,0.28787,1.22195,1.71567
2,1.04,0.975,1.17037,1.53095,3.62535,0.33993,1.29437,2.85814
2,1.04,0.97,1.14845,2.14337,3.21764,0.33157,2.12231,5.57354
2,1.04,0.965,1.05804,2.07517,3.62451,0.28222,2.47423,5.55697
2,1.04,0.96,1.05804,2.73123,3.98800,0.45988,2.30285,12.20459
2,1.04,0.955,1.01415,3.37012,5.11030,0.54289,2.49373,23.64558
2,1.04,0.95,0.60745,2.99165,7.61569,0.48738,2.47781,16.71337
2,1.04,0.945,1.39310,3.90664,8.87009,0.42182,2.49461,50.79819
2,1.04,0.94,1.39310,3.90664,9.40399,0.35610,2.56689,46.78204
2,1.04,0.9349999999999999,1.39310,3.90664,9.14341,0.34011,2.56813,43.46355
2,1.04,0.9299999999999999,1.39310,3.90664,9.24742,0.36467,2.68242,49.23085
2,1.04,0.925,1.39310,3.90664,8.10799,0.43019,2.85219,54.14278
2,1.04,0.9199999999999999,1.48170,3.45394,8.10799,0.37682,3.03400,47.43979
2,1.04,0.915,1.48170,3.45394,8.46536,0.38716,3.03400,50.88975
2,1.04,0.91,1.48170,3.45394,8.46536,0.39213,3.03400,51.54215
2,1.04,0.905,1.48170,3.45394,8.46536,0.44476,3.03400,58.46090
2,1.045,0.99,1.06610,1.02942,1.66077,0.32492,1.01183,0.59923
2,1.045,0.985,1.05530,1.02623,1.99102,0.28860,1.07889,0.67138
2,1.045,0.98,1.14761,1.50989,2.61222,0.27630,1.03178,1.29039
2,1.045,0.975,1.17037,1.56679,3.05878,0.29987,1.00510,1.69055
2,1.045,0.97,1.14845,2.19355,2.80207,0.30777,0.99179,2.15467
2,1.045,0.965,1.05804,2.12374,3.12387,0.30612,1.20011,2.57874
2,1.045,0.96,1.05804,2.03856,2.66476,0.47672,1.14727,3.14347
2,1.045,0.955,1.01415,3.37012,4.34689,0.59442,1.24294,10.97653
2,1.045,0.95,0.60745,2.99165,7.23788,0.55151,1.46358,10.61692
2,1.045,0.945,1.39310,3.90664,8.43006,0.50771,1.47350,34.32250
2,1.045,0.94,1.39310,3.90664,8.93747,0.44130,1.73625,37.26922
2,1.045,0.9349999999999999,1.39310,3.90664,8.93747,0.46688,2.54562,57.80896
2,1.045,0.9299999999999999,1.39310,3.90664,9.03914,0.45629,2.68242,60.21216
2,1.045,0.925,1.39310,3.90664,8.66772,0.51715,2.85219,69.57979
2,1.045,0.9199999999999999,1.48170,3.45394,8.66772,0.50929,3.03400,68.54294
2,1.045,0.915,1.48170,3.45394,8.46536,0.52327,3.03400,68.77943
2,1.045,0.91,1.48170,3.45394,8.46536,0.52998,3.03400,69.66117
2,1.045,0.905,1.48170,3.45394,8.46536,0.44476,3.03400,58.46090
2,1.05,0.99,1.06610,1.02942,1.54462,0.42723,0.99882,0.72338
2,1.05,0.985,1.05530,1.02623,1.56223,0.42001,1.03034,0.73216
2,1.05,0.98,1.14761,1.50989,1.97230,0.40711,0.97658,1.35872
2,1.05,0.975,1.17037,1.56679,2.50696,0.42518,0.97971,1.91492
2,1.05,0.97,1.14845,2.19355,2.36883,0.41640,0.99062,2.46154
2,1.05,0.965,1.05804,2.12374,3.13123,0.40315,1.27638,3.62049
2,1.05,0.96,1.05804,2.03856,2.85514,0.59109,1.22019,4.44155
2,1.05,0.955,1.01415,3.37012,4.44327,0.75962,1.32194,15.24939
2,1.05,0.95,0.60745,2.99165,7.23788,0.58918,1.57816,12.23003
2,1.05,0.945,1.39310,3.90664,8.43006,0.53102,1.61002,39.22470
2,1.05,0.94,1.39310,3.90664,8.93747,0.52191,1.73625,44.07632
2,1.05,0.9349999999999999,1.39310,3.90664,8.93747,0.55215,2.54562,68.36759
2,1.05,0.9299999999999999,1.39310,3.90664,9.03914,0.54049,2.68242,71.32319
2,1.05,0.925,1.39310,3.90664,8.66772,0.61258,2.85219,82.41945
2,1.05,0.9199999999999999,1.48170,3.45394,8.66772,0.60327,3.03400,81.19126
2,1.05,0.915,1.48170,3.45394,8.46536,0.52327,3.03400,68.77943
2,1.05,0.91,1.48170,3.45394,8.46536,0.52998,3.03400,69.66117
2,1.05,0.905,1.48170,3.45394,8.46536,0.44476,3.03400,58.46090
2,1.055,0.99,1.00700,1.02942,1.31907,0.49512,0.95726,0.64809
2,1.055,0.985,0.99680,1.02623,1.30423,0.48948,0.93256,0.60901
2,1.055,0.98,1.08400,1.50989,1.34919,0.47520,0.93256,0.97858
2,1.055,0.975,1.06500,1.56679,1.58986,0.53324,0.93256,1.31922
2,1.055,0.97,1.09370,2.19355,1.60253,0.52632,0.93256,1.88700
2,1.055,0.965,1.00760,2.12374,1.95114,0.39524,0.93256,1.53891
2,1.055,0.96,1.00760,2.03856,1.77910,0.51487,0.90933,1.71093
2,1.055,0.955,0.96580,3.37012,3.06604,0.47130,0.83730,3.93812
2,1.055,0.95,0.58950,2.99165,4.45268,0.83541,0.83730,5.49289
2,1.055,0.945,1.39310,3.90664,7.17335,0.58923,0.85421,19.64978
2,1.055,0.94,1.39310,3.90664,8.93747,0.64595,1.79091,56.26904
2,1.055,0.9349999999999999,1.39310,3.90664,8.93747,0.68338,2.62575,87.27994
2,1.055,0.9299999999999999,1.39310,3.90664,9.03914,0.62297,2.62575,80.46931
2,1.055,0.925,1.39310,3.90664,8.66772,0.70605,2.79193,92.98849
2,1.055,0.9199999999999999,1.48170,3.45394,8.66772,0.73659,3.03400,99.13408
2,1.055,0.915,1.48170,3.45394,8.46536,0.63891,3.03400,83.97930
2,1.055,0.91,1.48170,3.45394,8.46536,0.63387,3.03400,83.31711
2,1.055,0.905,1.48170,3.45394,8.46536,0.49858,3.03400,65.53400
2,1.06,0.99,1.00700,0.99019,1.27065,0.52341,0.96331,0.63882
2,1.06,0.985,0.99680,0.99019,1.27065,0.51745,0.96331,0.62515
2,1.06,0.98,1.08400,0.99019,1.28907,0.52304,0.96331,0.69714
2,1.06,0.975,1.06500,0.97491,1.52816,0.63933,0.96331,0.97717
2,1.06,0.97,1.09370,0.97491,1.54271,0.60189,0.96331,0.95375
2,1.06,0.965,1.00760,0.94389,1.56563,0.52867,0.96331,0.75831
2,1.06,0.96,1.00760,0.90603,1.46159,0.52399,0.94416,0.66012
2,1.06,0.955,0.96580,1.42075,1.27293,0.42588,0.89009,0.66212
2,1.06,0.95,0.58950,1.42075,1.27933,0.87423,0.89009,0.83377
2,1.06,0.945,1.39310,1.42075,1.27933,0.83674,0.93696,1.98515
2,1.06,0.94,1.39310,1.42075,2.21980,0.86096,0.97502,3.68818
2,1.06,0.9349999999999999,1.39310,1.42075,2.21980,0.96395,1.48632,6.29478
2,1.06,0.9299999999999999,1.39310,1.42075,9.03914,0.80524,1.48632,21.41246
2,1.06,0.925,1.39310,1.42075,8.66772,0.68372,1.48632,17.43388
2,1.06,0.9199999999999999,1.48170,3.45394,8.66772,0.71329,3.03400,95.99847
2,1.06,0.915,1.48170,3.45394,8.46536,0.65132,3.03400,85.61057
2,1.06,0.91,1.48170,3.45394,8.46536,0.64618,3.03400,84.93553
2,1.06,0.905,1.48170,3.45394,8.46536,0.50826,3.03400,66.80698
2,1.065,0.99,1.00700,0.99019,1.26096,0.53850,0.96331,0.65223
2,1.065,0.985,0.99680,0.99019,1.26096,0.53237,0.96331,0.63828
2,1.065,0.98,1.08400,0.99019,1.26405,0.53695,0.96331,0.70180
2,1.065,0.975,1.06500,0.97491,1.49851,0.65634,0.96331,0.98371
2,1.065,0.97,1.09370,0.97491,1.51278,0.59671,0.96331,0.92718
2,1.065,0.965,1.00760,0.94389,1.53525,0.52411,0.96331,0.73719
2,1.065,0.96,1.00760,0.90603,1.53525,0.52928,0.94416,0.70039
2,1.065,0.955,0.96580,1.42075,1.33708,0.43018,0.89009,0.70251
2,1.065,0.95,0.58950,1.42075,1.32130,0.88305,0.89009,0.86982
2,1.065,0.945,1.39310,1.42075,1.32130,0.84519,0.93696,2.07098
2,1.065,0.94,1.39310,1.42075,1.32130,1.00607,0.97502,2.56535
2,1.065,0.9349999999999999,1.39310,1.42075,1.32130,0.97875,1.48632,3.80441
2,1.065,0.9299999999999999,1.39310,1.42075,8.92993,0.80148,1.48632,21.05496
2,1.065,0.925,1.39310,1.42075,8.92993,0.68052,1.48632,17.87738
2,1.065,0.9199999999999999,1.48170,3.45394,8.92993,0.70996,3.03400,98.44056
2,1.065,0.915,1.48170,3.45394,8.72144,0.64827,3.03400,87.78841
2,1.065,0.91,1.48170,3.45394,8.72144,0.64316,3.03400,87.09619
2,1.065,0.905,1.48170,3.45394,8.72144,0.50589,3.03400,68.50648
2,1.07,0.99,1.00700,0.99019,1.26096,0.61108,1.00000,0.76834
2,1.07,0.985,0.99680,0.99019,1.26096,0.60412,1.00000,0.75189
2,1.07,0.98,1.08400,0.99019,1.26405,0.62723,1.00000,0.85103
2,1.07,0.975,1.06500,0.97491,1.49851,0.73208,1.00000,1.13902
2,1.07,0.97,1.09370,0.97491,1.51278,0.66557,1.00000,1.07357
2,1.07,0.965,1.00760,0.94389,1.53525,0.58550,1.00000,0.85490
2,1.07,0.96,1.00760,0.90603,1.53525,0.61454,1.00000,0.86131
2,1.07,0.955,0.96580,1.42075,1.33708,0.49307,1.00000,0.90464
2,1.07,0.95,0.58950,1.42075,1.32130,1.05970,1.00000,1.17270
2,1.07,0.945,1.39310,1.42075,1.32130,1.06642,0.98147,2.73720
2,1.07,0.94,1.39310,1.42075,1.32130,1.37659,1.02134,3.67689
2,1.07,0.9349999999999999,1.39310,1.42075,1.32130,1.25446,1.02134,3.35068
2,1.07,0.9299999999999999,1.39310,1.42075,8.92993,0.94555,1.02134,17.06895
2,1.07,0.925,1.39310,1.42075,8.92993,0.67569,1.02134,12.19745
2,1.07,0.9199999999999999,1.48170,3.45394,8.92993,0.70492,3.03400,97.74165
2,1.07,0.915,1.48170,3.45394,8.72144,0.65039,3.03400,88.07492
2,1.07,0.91,1.48170,3.45394,8.72144,0.73118,3.03400,99.01570
2,1.07,0.905,1.48170,3.45394,8.72144,0.48758,3.03400,66.02704
2,1.075,0.99,1.00700,0.99019,1.26096,0.67614,1.00000,0.85013
2,1.075,0.985,0.99680,0.99019,1.26096,0.67821,1.00000,0.84410
2,1.075,0.98,1.08400,0.99019,1.26405,0.73355,1.00000,0.99528
2,1.075,0.975,1.06500,0.97491,1.49851,0.79011,1.00000,1.22931
2,1.075,0.97,1.09370,0.97491,1.51278,0.71833,1.00000,1.15868
2,1.075,0.965,1.00760,0.94389,1.53525,0.69387,1.00000,1.01313
2,1.075,0.96,1.00760,0.90603,1.53525,0.66313,1.00000,0.92942
2,1.075,0.955,0.96580,1.42075,1.33708,0.64805,1.00000,1.18898
2,1.075,0.95,0.58950,1.42075,1.32130,1.39277,1.00000,1.54129
2,1.075,0.945,1.39310,1.42075,1.32130,1.53085,0.98147,3.92928
2,1.075,0.94,1.39310,1.42075,1.32130,1.22076,1.02134,3.26067
2,1.075,0.9349999999999999,1.39310,1.42075,1.32130,1.11246,1.02134,2.97139
2,1.075,0.9299999999999999,1.39310,1.42075,8.92993,0.83852,1.02134,15.13678
2,1.075,0.925,1.39310,1.42075,8.92993,0.59920,1.02134,10.81673
2,1.075,0.9199999999999999,1.48170,3.45394,8.92993,0.62513,3.03400,86.67752
2,1.075,0.915,1.48170,3.45394,8.72144,0.65039,3.03400,88.07492
2,1.075,0.91,1.48170,3.45394,8.72144,0.73118,3.03400,99.01570
2,1.075,0.905,1.48170,3.45394,8.72144,0.48758,3.03400,66.02704
2,1.08,0.99,1.00700,0.99019,1.26096,0.63580,1.00000,0.79941
2,1.08,0.985,0.99680,0.99019,1.26096,0.63775,1.00000,0.79375
2,1.08,0.98,1.08400,0.99019,1.26405,0.68979,1.00000,0.93591
2,1.08,0.975,1.06500,0.97491,1.49851,0.74297,1.00000,1.15598
2,1.08,0.97,1.09370,0.97491,1.51278,0.72813,1.00000,1.17449
2,1.08,0.965,1.00760,0.94389,1.53525,0.70334,1.00000,1.02696
2,1.08,0.96,1.00760,0.90603,1.53525,0.67218,1.00000,0.94210
2,1.08,0.955,0.96580,1.42075,1.33708,0.65689,1.00000,1.20520
2,1.08,0.95,0.58950,1.42075,1.32130,1.44807,1.00000,1.60249
2,1.08,0.945,1.39310,1.42075,1.32130,1.59163,0.98147,4.08529
2,1.08,0.94,1.39310,1.42075,1.32130,1.26923,1.02134,3.39013
2,1.08,0.9349999999999999,1.39310,1.42075,1.32130,1.19241,1.02134,3.18495
2,1.08,0.9299999999999999,1.39310,1.42075,8.92993,0.89878,1.02134,16.22467
2,1.08,0.925,1.39310,1.42075,8.92993,0.58225,1.02134,10.51066
2,1.08,0.9199999999999999,1.48170,3.45394,8.92993,0.66958,3.03400,92.84095
2,1.08,0.915,1.48170,3.45394,8.72144,0.69664,3.03400,94.33771
2,1.08,0.91,1.48170,3.45394,8.72144,0.78318,3.03400,106.05646
2,1.08,0.905,1.48170,3.45394,8.72144,0.52225,3.03400,70.72206
2,1.085,0.99,1.00700,0.99019,1.26096,0.64989,1.00000,0.81713
2,1.085,0.985,0.99680,0.99019,1.26096,0.65189,1.00000,0.81134
2,1.085,0.98,1.08400,0.99019,1.26405,0.67932,1.00000,0.92170
2,1.085,0.975,1.06500,0.97491,1.49851,0.71000,1.00000,1.10467
2,1.085,0.97,1.09370,0.97491,1.51278,0.69313,1.00000,1.11803
2,1.085,0.965,1.00760,0.94389,1.53525,0.69313,1.00000,1.01205
2,1.085,0.96,1.00760,0.90603,1.53525,0.66242,1.00000,0.92843
2,1.085,0.955,0.96580,1.42075,1.33708,0.64585,1.00000,1.18494
2,1.085,0.95,0.58950,1.42075,1.32130,1.34823,1.00000,1.49200
2,1.085,0.945,1.39310,1.42075,1.32130,1.84988,0.98147,4.74814
2,1.085,0.94,1.39310,1.42075,1.32130,1.81151,1.02134,4.83858
2,1.085,0.9349999999999999,1.39310,1.42075,1.32130,1.70187,1.02134,4.54572
2,1.085,0.9299999999999999,1.39310,1.42075,8.92993,1.28279,1.02134,23.15670
2,1.085,0.925,1.39310,1.42075,8.92993,0.93218,1.02134,16.82747
2,1.085,0.9199999999999999,1.48170,3.45394,8.92993,0.94118,3.03400,130.49979
2,1.085,0.915,1.48170,3.45394,8.72144,0.69664,3.03400,94.33771
2,1.085,0.91,1.48170,3.45394,8.72144,0.78318,3.03400,106.05646
2,1.085,0.905,1.48170,3.45394,8.72144,0.52225,3.03400,70.72206
2,1.09,0.99,1.00700,0.99019,1.00000,0.62401,1.00000,0.62222
2,1.09,0.985,0.99680,0.99019,1.00000,0.62593,1.00000,0.61781
2,1.09,0.98,1.08400,0.99019,1.00000,0.60326,1.00000,0.64752
2,1.09,0.975,1.06500,0.97491,1.00000,0.60326,1.00000,0.62635
2,1.09,0.97,1.09370,0.97491,1.00000,0.57709,1.00000,0.61533
2,1.09,0.965,1.00760,0.94389,1.00000,0.57709,1.00000,0.54885
2,1.09,0.96,1.00760,0.90603,1.00000,0.55153,1.00000,0.50350
2,1.09,0.955,0.96580,1.42075,0.87092,0.55153,1.00000,0.65911
2,1.09,0.95,0.58950,1.42075,0.87092,0.60411,1.00000,0.44066
2,1.09,0.945,1.39310,1.42075,0.87092,0.57547,1.00000,0.99198
2,1.09,0.94,1.39310,1.42075,0.87092,0.56353,1.00000,0.97140
2,1.09,0.9349999999999999,1.39310,1.42075,0.87092,0.52943,1.00000,0.91261
2,1.09,0.9299999999999999,1.39310,1.42075,3.34202,0.42980,1.00000,2.84299
2,1.09,0.925,1.39310,1.42075,3.34202,0.31233,1.00000,2.06594
2,1.09,0.9199999999999999,1.48170,3.45394,3.34202,0.33883,1.00000,5.79513
2,1.09,0.915,1.48170,3.45394,3.26399,0.41100,1.00000,6.86542
2,1.09,0.91,1.48170,3.45394,3.26399,0.67862,3.03400,34.39284
2,1.09,0.905,1.48170,3.45394,3.26399,0.49806,3.03400,25.24173
2,1.095,0.99,1.00700,0.99019,1.00000,0.65510,1.00000,0.65322
2,1.095,0.985,0.99680,0.99019,1.00000,0.65711,1.00000,0.64859
2,1.095,0.98,1.08400,0.99019,1.00000,0.63331,1.00000,0.67978
2,1.095,0.975,1.06500,0.97491,1.00000,0.63331,1.00000,0.65756
2,1.095,0.97,1.09370,0.97491,1.00000,0.60584,1.00000,0.64599
2,1.095,0.965,1.00760,0.94389,1.00000,0.60584,1.00000,0.57620
2,1.095,0.96,1.00760,0.90603,1.00000,0.57901,1.00000,0.52859
2,1.095,0.955,0.96580,1.42075,0.87092,0.57901,1.00000,0.69194
2,1.095,0.95,0.58950,1.42075,0.87092,0.57901,1.00000,0.42234
2,1.095,0.945,1.39310,1.42075,0.87092,0.55155,1.00000,0.95075
2,1.095,0.94,1.39310,1.42075,0.87092,0.54011,1.00000,0.93103
2,1.095,0.9349999999999999,1.39310,1.42075,0.87092,0.50742,1.00000,0.87468
2,1.095,0.9299999999999999,1.39310,1.42075,3.34202,0.41194,1.00000,2.72484
2,1.095,0.925,1.39310,1.42075,3.34202,0.31233,1.00000,2.06594
2,1.095,0.9199999999999999,1.48170,3.45394,3.34202,0.33883,1.00000,5.79513
2,1.095,0.915,1.48170,3.45394,3.26399,0.41100,1.00000,6.86542
2,1.095,0.91,1.48170,3.45394,3.26399,0.67862,3.03400,34.39284
2,1.095,0.905,1.48170,3.45394,3.26399,0.49806,3.03400,25.24173
2,1.1,0.99,1.00700,0.99019,1.00000,0.71270,1.00000,0.71065
2,1.1,0.985,0.99680,0.99019,1.00000,0.71489,1.00000,0.70561
2,1.1,0.98,1.08400,0.99019,1.00000,0.72958,1.00000,0.78311
2,1.1,0.975,1.06500,0.97491,1.00000,0.72958,1.00000,0.75751
2,1.1,0.97,1.09370,0.97491,1.00000,0.69793,1.00000,0.74418
2,1.1,0.965,1.00760,0.94389,1.00000,0.69793,1.00000,0.66378
2,1.1,0.96,1.00760,0.90603,1.00000,0.66702,1.00000,0.60893
2,1.1,0.955,0.96580,1.42075,0.87092,0.66702,1.00000,0.79712
2,1.1,0.95,0.58950,1.42075,0.87092,0.66702,1.00000,0.48654
2,1.1,0.945,1.39310,1.42075,0.87092,0.63539,1.00000,1.09527
2,1.1,0.94,1.39310,1.42075,0.87092,0.62221,1.00000,1.07255
2,1.1,0.9349999999999999,1.39310,1.42075,0.87092,0.60475,1.00000,1.04245
2,1.1,0.9299999999999999,1.39310,1.42075,3.34202,0.62511,1.00000,4.13489
2,1.1,0.925,1.39310,1.42075,3.34202,0.46634,1.00000,3.08471
2,1.1,0.9199999999999999,1.48170,3.45394,3.34202,0.50591,1.00000,8.65287
2,1.1,0.915,1.48170,3.45394,3.26399,0.41100,1.00000,6.86542
2,1.1,0.91,1.48170,3.45394,3.26399,0.67862,3.03400,34.39284
